component_model_id,season,target,weight
Dynamic Harmonic Model,2017/2018,4 wk ahead,0.87861359490266
Historical Average,2017/2018,4 wk ahead,9.79574347544412e-07
Subtype Historical Average,2017/2018,4 wk ahead,0.121385425522993
Dynamic Harmonic Model,2010/2011,Season onset,0.888082423485041
Historical Average,2010/2011,Season onset,2.44801282094626e-06
Subtype Historical Average,2010/2011,Season onset,0.111915128502138
Dynamic Harmonic Model,2011/2012,Season onset,0.843423998224215
Historical Average,2011/2012,Season onset,1.0003922232407e-06
Subtype Historical Average,2011/2012,Season onset,0.156575001383562
Dynamic Harmonic Model,2012/2013,Season onset,0.892655512698441
Historical Average,2012/2013,Season onset,2.51782870933991e-06
Subtype Historical Average,2012/2013,Season onset,0.10734196947285
Dynamic Harmonic Model,2013/2014,Season onset,0.8791653111632
Historical Average,2013/2014,Season onset,6.23300740659023e-06
Subtype Historical Average,2013/2014,Season onset,0.120828455829393
Dynamic Harmonic Model,2014/2015,Season onset,0.877325106452665
Historical Average,2014/2015,Season onset,5.79894298936046e-06
Subtype Historical Average,2014/2015,Season onset,0.122669094604345
Dynamic Harmonic Model,2015/2016,Season onset,0.929888008021448
Historical Average,2015/2016,Season onset,7.59916404152546e-06
Subtype Historical Average,2015/2016,Season onset,0.0701043928145103
Dynamic Harmonic Model,2016/2017,Season onset,0.871842466632183
Historical Average,2016/2017,Season onset,2.2602525590065e-06
Subtype Historical Average,2016/2017,Season onset,0.128155273115258
Dynamic Harmonic Model,2017/2018,Season onset,0.8669013599057
Historical Average,2017/2018,Season onset,2.51165538783566e-06
Subtype Historical Average,2017/2018,Season onset,0.133096128438912
Dynamic Harmonic Model,2010/2011,Season peak percentage,0.930459478347804
Historical Average,2010/2011,Season peak percentage,9.21830577097508e-07
Subtype Historical Average,2010/2011,Season peak percentage,0.0695395998216192
Dynamic Harmonic Model,2011/2012,Season peak percentage,0.913038737632335
Historical Average,2011/2012,Season peak percentage,1.03109667510838e-06
Subtype Historical Average,2011/2012,Season peak percentage,0.0869602312709903
Dynamic Harmonic Model,2012/2013,Season peak percentage,0.943020098510765
Historical Average,2012/2013,Season peak percentage,1.09922189134674e-06
Subtype Historical Average,2012/2013,Season peak percentage,0.0569788022673441
Dynamic Harmonic Model,2013/2014,Season peak percentage,0.934624084145278
Historical Average,2013/2014,Season peak percentage,2.13592224826289e-06
Subtype Historical Average,2013/2014,Season peak percentage,0.0653737799324739
Dynamic Harmonic Model,2014/2015,Season peak percentage,0.959876585841263
Historical Average,2014/2015,Season peak percentage,1.54119111091175e-05
Subtype Historical Average,2014/2015,Season peak percentage,0.0401080022476276
Dynamic Harmonic Model,2015/2016,Season peak percentage,0.937733181237548
Historical Average,2015/2016,Season peak percentage,1.0759628878594e-06
Subtype Historical Average,2015/2016,Season peak percentage,0.0622657427995644
Dynamic Harmonic Model,2016/2017,Season peak percentage,0.934061898035171
