component_model_id,season,Model Week,location,target,weight
Historical Average,2012/2013,47,HHS Region 1,1 wk ahead,0.999995228312234
Subtype Historical Average,2012/2013,47,HHS Region 1,1 wk ahead,4.77168776587633e-06
Historical Average,2013/2014,47,HHS Region 1,1 wk ahead,0.999997356671621
Subtype Historical Average,2013/2014,47,HHS Region 1,1 wk ahead,2.64332837928319e-06
Historical Average,2014/2015,47,HHS Region 1,1 wk ahead,0.999995895561121
Subtype Historical Average,2014/2015,47,HHS Region 1,1 wk ahead,4.10443887913097e-06
Historical Average,2015/2016,47,HHS Region 1,1 wk ahead,0.999997111288882
Subtype Historical Average,2015/2016,47,HHS Region 1,1 wk ahead,2.88871111776779e-06
Historical Average,2016/2017,47,HHS Region 1,1 wk ahead,0.99999703861446
Subtype Historical Average,2016/2017,47,HHS Region 1,1 wk ahead,2.96138554049105e-06
Historical Average,2017/2018,47,HHS Region 1,1 wk ahead,0.999972356955766
Subtype Historical Average,2017/2018,47,HHS Region 1,1 wk ahead,2.76430442340644e-05
Historical Average,2010/2011,48,HHS Region 1,1 wk ahead,0.999965292811301
Subtype Historical Average,2010/2011,48,HHS Region 1,1 wk ahead,3.47071886992526e-05
Historical Average,2011/2012,48,HHS Region 1,1 wk ahead,0.99995715179292
Subtype Historical Average,2011/2012,48,HHS Region 1,1 wk ahead,4.28482070797003e-05
Historical Average,2012/2013,48,HHS Region 1,1 wk ahead,0.999931820898813
Subtype Historical Average,2012/2013,48,HHS Region 1,1 wk ahead,6.81791011869672e-05
Historical Average,2013/2014,48,HHS Region 1,1 wk ahead,0.999965398160421
Subtype Historical Average,2013/2014,48,HHS Region 1,1 wk ahead,3.46018395786487e-05
Historical Average,2014/2015,48,HHS Region 1,1 wk ahead,0.999972423737986
Subtype Historical Average,2014/2015,48,HHS Region 1,1 wk ahead,2.75762620139164e-05
Historical Average,2015/2016,48,HHS Region 1,1 wk ahead,0.999948084982935
Subtype Historical Average,2015/2016,48,HHS Region 1,1 wk ahead,5.19150170645174e-05
Historical Average,2016/2017,48,HHS Region 1,1 wk ahead,0.999953533163198
Subtype Historical Average,2016/2017,48,HHS Region 1,1 wk ahead,4.6466836802493e-05
Historical Average,2017/2018,48,HHS Region 1,1 wk ahead,0.00205736040323878
Subtype Historical Average,2017/2018,48,HHS Region 1,1 wk ahead,0.997942639596761
Historical Average,2010/2011,49,HHS Region 1,1 wk ahead,0.999983142625905
Subtype Historical Average,2010/2011,49,HHS Region 1,1 wk ahead,1.68573740951646e-05
Historical Average,2011/2012,49,HHS Region 1,1 wk ahead,0.99998944977295
Subtype Historical Average,2011/2012,49,HHS Region 1,1 wk ahead,1.05502270497844e-05
Historical Average,2012/2013,49,HHS Region 1,1 wk ahead,0.999995531519627
Subtype Historical Average,2012/2013,49,HHS Region 1,1 wk ahead,4.46848037319146e-06
Historical Average,2013/2014,49,HHS Region 1,1 wk ahead,0.999995870763325
Subtype Historical Average,2013/2014,49,HHS Region 1,1 wk ahead,4.12923667513677e-06
Historical Average,2014/2015,49,HHS Region 1,1 wk ahead,0.99998970058581
Subtype Historical Average,2014/2015,49,HHS Region 1,1 wk ahead,1.02994141899088e-05
Historical Average,2015/2016,49,HHS Region 1,1 wk ahead,0.999993509375711
Subtype Historical Average,2015/2016,49,HHS Region 1,1 wk ahead,6.49062428867141e-06
Historical Average,2016/2017,49,HHS Region 1,1 wk ahead,0.999992971512291
Subtype Historical Average,2016/2017,49,HHS Region 1,1 wk ahead,7.02848770860568e-06
Historical Average,2017/2018,49,HHS Region 1,1 wk ahead,4.58083449984081e-05
Subtype Historical Average,2017/2018,49,HHS Region 1,1 wk ahead,0.999954191655002
Historical Average,2010/2011,50,HHS Region 1,1 wk ahead,0.647568629037661
Subtype Historical Average,2010/2011,50,HHS Region 1,1 wk ahead,0.352431370962339
Historical Average,2011/2012,50,HHS Region 1,1 wk ahead,0.820321226780152
Subtype Historical Average,2011/2012,50,HHS Region 1,1 wk ahead,0.179678773219848
Historical Average,2012/2013,50,HHS Region 1,1 wk ahead,0.999997172524319
Subtype Historical Average,2012/2013,50,HHS Region 1,1 wk ahead,2.82747568109078e-06
Historical Average,2013/2014,50,HHS Region 1,1 wk ahead,0.999971813255198
Subtype Historical Average,2013/2014,50,HHS Region 1,1 wk ahead,2.81867448016999e-05
Historical Average,2014/2015,50,HHS Region 1,1 wk ahead,0.869008728425643
Subtype Historical Average,2014/2015,50,HHS Region 1,1 wk ahead,0.130991271574357
Historical Average,2015/2016,50,HHS Region 1,1 wk ahead,0.979430170826523
Subtype Historical Average,2015/2016,50,HHS Region 1,1 wk ahead,0.0205698291734768
Historical Average,2016/2017,50,HHS Region 1,1 wk ahead,0.998122524836712
Subtype Historical Average,2016/2017,50,HHS Region 1,1 wk ahead,0.00187747516328768
Historical Average,2017/2018,50,HHS Region 1,1 wk ahead,2.01565808665237e-05
Subtype Historical Average,2017/2018,50,HHS Region 1,1 wk ahead,0.999979843419133
Historical Average,2010/2011,51,HHS Region 1,1 wk ahead,0.999995589133361
Subtype Historical Average,2010/2011,51,HHS Region 1,1 wk ahead,4.41086663929893e-06
Historical Average,2011/2012,51,HHS Region 1,1 wk ahead,0.999995713399546
Subtype Historical Average,2011/2012,51,HHS Region 1,1 wk ahead,4.2866004542354e-06
Historical Average,2012/2013,51,HHS Region 1,1 wk ahead,0.313739706477416
Subtype Historical Average,2012/2013,51,HHS Region 1,1 wk ahead,0.686260293522584
Historical Average,2013/2014,51,HHS Region 1,1 wk ahead,0.999996975827387
Subtype Historical Average,2013/2014,51,HHS Region 1,1 wk ahead,3.02417261315406e-06
Historical Average,2014/2015,51,HHS Region 1,1 wk ahead,0.999998146162779
Subtype Historical Average,2014/2015,51,HHS Region 1,1 wk ahead,1.85383722133448e-06
Historical Average,2015/2016,51,HHS Region 1,1 wk ahead,0.999995958063105
Subtype Historical Average,2015/2016,51,HHS Region 1,1 wk ahead,4.04193689479999e-06
Historical Average,2016/2017,51,HHS Region 1,1 wk ahead,0.999996290754473
Subtype Historical Average,2016/2017,51,HHS Region 1,1 wk ahead,3.70924552711813e-06
Historical Average,2017/2018,51,HHS Region 1,1 wk ahead,0.999989787342628
Subtype Historical Average,2017/2018,51,HHS Region 1,1 wk ahead,1.02126573721526e-05
Historical Average,2010/2011,52,HHS Region 1,1 wk ahead,0.999998673007462
Subtype Historical Average,2010/2011,52,HHS Region 1,1 wk ahead,1.32699253762408e-06
Historical Average,2011/2012,52,HHS Region 1,1 wk ahead,0.999998744975746
Subtype Historical Average,2011/2012,52,HHS Region 1,1 wk ahead,1.25502425387844e-06
Historical Average,2012/2013,52,HHS Region 1,1 wk ahead,0.183218177101825
Subtype Historical Average,2012/2013,52,HHS Region 1,1 wk ahead,0.816781822898175
Historical Average,2013/2014,52,HHS Region 1,1 wk ahead,0.999999146080424
Subtype Historical Average,2013/2014,52,HHS Region 1,1 wk ahead,8.53919575873167e-07
Historical Average,2014/2015,52,HHS Region 1,1 wk ahead,0.999999379865115
Subtype Historical Average,2014/2015,52,HHS Region 1,1 wk ahead,6.20134884586018e-07
Historical Average,2015/2016,52,HHS Region 1,1 wk ahead,0.999998848440055
Subtype Historical Average,2015/2016,52,HHS Region 1,1 wk ahead,1.15155994464401e-06
Historical Average,2016/2017,52,HHS Region 1,1 wk ahead,0.999998822392638
Subtype Historical Average,2016/2017,52,HHS Region 1,1 wk ahead,1.17760736206719e-06
Historical Average,2017/2018,52,HHS Region 1,1 wk ahead,0.999997922763064
Subtype Historical Average,2017/2018,52,HHS Region 1,1 wk ahead,2.0772369364406e-06
Historical Average,2010/2011,53,HHS Region 1,1 wk ahead,0.999844846458154
Subtype Historical Average,2010/2011,53,HHS Region 1,1 wk ahead,0.000155153541846431
Historical Average,2011/2012,53,HHS Region 1,1 wk ahead,0.640026423852386
Subtype Historical Average,2011/2012,53,HHS Region 1,1 wk ahead,0.359973576147614
Historical Average,2012/2013,53,HHS Region 1,1 wk ahead,0.999992767342624
Subtype Historical Average,2012/2013,53,HHS Region 1,1 wk ahead,7.23265737563646e-06
Historical Average,2013/2014,53,HHS Region 1,1 wk ahead,0.66675473250909
Subtype Historical Average,2013/2014,53,HHS Region 1,1 wk ahead,0.333245267490909
Historical Average,2014/2015,53,HHS Region 1,1 wk ahead,0.831827662727394
Subtype Historical Average,2014/2015,53,HHS Region 1,1 wk ahead,0.168172337272606
Historical Average,2015/2016,53,HHS Region 1,1 wk ahead,0.698417649243787
Subtype Historical Average,2015/2016,53,HHS Region 1,1 wk ahead,0.301582350756213
Historical Average,2016/2017,53,HHS Region 1,1 wk ahead,0.810450038383323
Subtype Historical Average,2016/2017,53,HHS Region 1,1 wk ahead,0.189549961616677
Historical Average,2017/2018,53,HHS Region 1,1 wk ahead,1.08054015492058e-05
Subtype Historical Average,2017/2018,53,HHS Region 1,1 wk ahead,0.999989194598451
Historical Average,2010/2011,54,HHS Region 1,1 wk ahead,0.999999138649952
Subtype Historical Average,2010/2011,54,HHS Region 1,1 wk ahead,8.6135004744387e-07
Historical Average,2011/2012,54,HHS Region 1,1 wk ahead,0.99999897576832
Subtype Historical Average,2011/2012,54,HHS Region 1,1 wk ahead,1.02423168003751e-06
Historical Average,2012/2013,54,HHS Region 1,1 wk ahead,0.999942594671326
Subtype Historical Average,2012/2013,54,HHS Region 1,1 wk ahead,5.74053286738011e-05
Historical Average,2013/2014,54,HHS Region 1,1 wk ahead,0.99999871492173
Subtype Historical Average,2013/2014,54,HHS Region 1,1 wk ahead,1.28507826973649e-06
Historical Average,2014/2015,54,HHS Region 1,1 wk ahead,0.99999968838347
Subtype Historical Average,2014/2015,54,HHS Region 1,1 wk ahead,3.11616529910868e-07
Historical Average,2015/2016,54,HHS Region 1,1 wk ahead,0.999998960926005
Subtype Historical Average,2015/2016,54,HHS Region 1,1 wk ahead,1.03907399515787e-06
