component_model_id,season,Model Week,weight
Subtype Historical Average,2010/2011,54,0.283503741856454
Historical Average,2011/2012,54,0.692773604501082
Subtype Historical Average,2011/2012,54,0.307226395498918
Historical Average,2012/2013,54,0.675205965825689
Subtype Historical Average,2012/2013,54,0.324794034174311
Historical Average,2013/2014,54,0.993477599364421
Subtype Historical Average,2013/2014,54,0.00652240063557877
Historical Average,2014/2015,54,0.999190923579842
Subtype Historical Average,2014/2015,54,0.000809076420158131
Historical Average,2015/2016,54,0.72591258939749
Subtype Historical Average,2015/2016,54,0.27408741060251
Historical Average,2016/2017,54,0.703473814041575
Subtype Historical Average,2016/2017,54,0.296526185958425
Historical Average,2017/2018,54,0.0395048521380466
Subtype Historical Average,2017/2018,54,0.960495147861953
Historical Average,2010/2011,55,0.661984039177068
Subtype Historical Average,2010/2011,55,0.338015960822932
Historical Average,2011/2012,55,0.649225071805381
Subtype Historical Average,2011/2012,55,0.350774928194619
Historical Average,2012/2013,55,0.658419763934206
Subtype Historical Average,2012/2013,55,0.341580236065795
Historical Average,2013/2014,55,0.994423223505112
Subtype Historical Average,2013/2014,55,0.00557677649488782
Historical Average,2014/2015,55,0.963197608849163
Subtype Historical Average,2014/2015,55,0.0368023911508374
Historical Average,2015/2016,55,0.678444768898174
Subtype Historical Average,2015/2016,55,0.321555231101826
Historical Average,2016/2017,55,0.648136826190595
Subtype Historical Average,2016/2017,55,0.351863173809405
Historical Average,2017/2018,55,1.01682338826289e-05
Subtype Historical Average,2017/2018,55,0.999989831766117
Historical Average,2010/2011,56,0.606762837084959
Subtype Historical Average,2010/2011,56,0.393237162915041
Historical Average,2011/2012,56,0.590504879611927
Subtype Historical Average,2011/2012,56,0.409495120388073
Historical Average,2012/2013,56,0.600205819510307
Subtype Historical Average,2012/2013,56,0.399794180489693
Historical Average,2013/2014,56,0.992727836368041
Subtype Historical Average,2013/2014,56,0.0072721636319591
Historical Average,2014/2015,56,0.887391425904307
Subtype Historical Average,2014/2015,56,0.112608574095693
Historical Average,2015/2016,56,0.624086436412274
Subtype Historical Average,2015/2016,56,0.375913563587726
Historical Average,2016/2017,56,0.589686624514596
Subtype Historical Average,2016/2017,56,0.410313375485404
Historical Average,2017/2018,56,8.12466034011976e-06
Subtype Historical Average,2017/2018,56,0.99999187533966
Historical Average,2010/2011,57,0.537038190768541
Subtype Historical Average,2010/2011,57,0.462961809231459
Historical Average,2011/2012,57,0.522786529447068
Subtype Historical Average,2011/2012,57,0.477213470552932
Historical Average,2012/2013,57,0.535321415484774
Subtype Historical Average,2012/2013,57,0.464678584515226
Historical Average,2013/2014,57,0.998434580416374
Subtype Historical Average,2013/2014,57,0.00156541958362603
Historical Average,2014/2015,57,0.797955544315463
Subtype Historical Average,2014/2015,57,0.202044455684537
Historical Average,2015/2016,57,0.561779930355902
Subtype Historical Average,2015/2016,57,0.438220069644098
Historical Average,2016/2017,57,0.532061612355618
Subtype Historical Average,2016/2017,57,0.467938387644382
Historical Average,2017/2018,57,1.04393202464073e-05
Subtype Historical Average,2017/2018,57,0.999989560679754
Historical Average,2010/2011,58,0.417502355359775
Subtype Historical Average,2010/2011,58,0.582497644640225
Historical Average,2011/2012,58,0.381768012794086
Subtype Historical Average,2011/2012,58,0.618231987205914
Historical Average,2012/2013,58,0.410526646133922
Subtype Historical Average,2012/2013,58,0.589473353866078
Historical Average,2013/2014,58,0.979501717826892
Subtype Historical Average,2013/2014,58,0.0204982821731081
Historical Average,2014/2015,58,0.679632805652129
Subtype Historical Average,2014/2015,58,0.320367194347871
Historical Average,2015/2016,58,0.432081989799268
Subtype Historical Average,2015/2016,58,0.567918010200732
Historical Average,2016/2017,58,0.412932147999886
Subtype Historical Average,2016/2017,58,0.587067852000114
Historical Average,2017/2018,58,1.05994368518941e-05
Subtype Historical Average,2017/2018,58,0.999989400563148
Historical Average,2010/2011,59,0.248544475100688
Subtype Historical Average,2010/2011,59,0.751455524899312
Historical Average,2011/2012,59,0.204158731296389
Subtype Historical Average,2011/2012,59,0.795841268703611
Historical Average,2012/2013,59,0.238773029604153
Subtype Historical Average,2012/2013,59,0.761226970395847
Historical Average,2013/2014,59,0.822403123219108
Subtype Historical Average,2013/2014,59,0.177596876780892
Historical Average,2014/2015,59,0.500068096624982
Subtype Historical Average,2014/2015,59,0.499931903375018
Historical Average,2015/2016,59,0.251544726029535
Subtype Historical Average,2015/2016,59,0.748455273970465
Historical Average,2016/2017,59,0.240353041811853
Subtype Historical Average,2016/2017,59,0.759646958188147
Historical Average,2017/2018,59,1.01274104249686e-05
Subtype Historical Average,2017/2018,59,0.999989872589575
Historical Average,2010/2011,60,0.138158522014188
Subtype Historical Average,2010/2011,60,0.861841477985812
Historical Average,2011/2012,60,0.104400559269815
Subtype Historical Average,2011/2012,60,0.895599440730185
Historical Average,2012/2013,60,0.136117791535587
Subtype Historical Average,2012/2013,60,0.863882208464413
Historical Average,2013/2014,60,0.657192665890164
Subtype Historical Average,2013/2014,60,0.342807334109836
Historical Average,2014/2015,60,0.369641029321794
Subtype Historical Average,2014/2015,60,0.630358970678206
Historical Average,2015/2016,60,0.130918870089401
Subtype Historical Average,2015/2016,60,0.869081129910599
Historical Average,2016/2017,60,0.131751608710851
Subtype Historical Average,2016/2017,60,0.868248391289149
Historical Average,2017/2018,60,7.99565270630162e-06
Subtype Historical Average,2017/2018,60,0.999992004347294
Historical Average,2010/2011,61,0.106540081986448
Subtype Historical Average,2010/2011,61,0.893459918013552
Historical Average,2011/2012,61,0.0826921801436588
Subtype Historical Average,2011/2012,61,0.917307819856341
Historical Average,2012/2013,61,0.109212457972283
Subtype Historical Average,2012/2013,61,0.890787542027717
Historical Average,2013/2014,61,0.547748863703185
Subtype Historical Average,2013/2014,61,0.452251136296815
Historical Average,2014/2015,61,0.306191028205053
Subtype Historical Average,2014/2015,61,0.693808971794947
Historical Average,2015/2016,61,0.0997288029532346
Subtype Historical Average,2015/2016,61,0.900271197046765
Historical Average,2016/2017,61,0.102107390502317
Subtype Historical Average,2016/2017,61,0.897892609497683
Historical Average,2017/2018,61,6.95944052077146e-06
Subtype Historical Average,2017/2018,61,0.999993040559479
Historical Average,2010/2011,62,0.0929506046619223
Subtype Historical Average,2010/2011,62,0.907049395338078
Historical Average,2011/2012,62,0.0749149544153671
Subtype Historical Average,2011/2012,62,0.925085045584633
Historical Average,2012/2013,62,0.0971654977926319
Subtype Historical Average,2012/2013,62,0.902834502207368
Historical Average,2013/2014,62,0.478721301180041
Subtype Historical Average,2013/2014,62,0.521278698819959
Historical Average,2014/2015,62,0.282863403321444
Subtype Historical Average,2014/2015,62,0.717136596678556
Historical Average,2015/2016,62,0.0885851768904184
Subtype Historical Average,2015/2016,62,0.911414823109582
Historical Average,2016/2017,62,0.0917486495355381
Subtype Historical Average,2016/2017,62,0.908251350464462
Historical Average,2017/2018,62,6.18327879195999e-06
Subtype Historical Average,2017/2018,62,0.999993816721208
Historical Average,2010/2011,63,0.0835408152939761
Subtype Historical Average,2010/2011,63,0.916459184706024
Historical Average,2011/2012,63,0.0678538226237236
Subtype Historical Average,2011/2012,63,0.932146177376276
Historical Average,2012/2013,63,0.0892421660345589
Subtype Historical Average,2012/2013,63,0.910757833965441
Historical Average,2013/2014,63,0.437373213178267
Subtype Historical Average,2013/2014,63,0.562626786821733
Historical Average,2014/2015,63,0.248841523455254
Subtype Historical Average,2014/2015,63,0.751158476544746
Historical Average,2015/2016,63,0.0798196607743091
Subtype Historical Average,2015/2016,63,0.920180339225691
Historical Average,2016/2017,63,0.0854462252045538
Subtype Historical Average,2016/2017,63,0.914553774795446
Historical Average,2017/2018,63,5.40141147502848e-06
Subtype Historical Average,2017/2018,63,0.999994598588525
Historical Average,2010/2011,64,0.0844425709941783
Subtype Historical Average,2010/2011,64,0.915557429005822
Historical Average,2011/2012,64,0.0684294879235005
Subtype Historical Average,2011/2012,64,0.9315705120765
Historical Average,2012/2013,64,0.0890796639812949
Subtype Historical Average,2012/2013,64,0.910920336018705
Historical Average,2013/2014,64,0.445185460513504
Subtype Historical Average,2013/2014,64,0.554814539486496
Historical Average,2014/2015,64,0.242985094282749
Subtype Historical Average,2014/2015,64,0.757014905717251
Historical Average,2015/2016,64,0.0814644158702817
Subtype Historical Average,2015/2016,64,0.918535584129718
Historical Average,2016/2017,64,0.0856716340488403
Subtype Historical Average,2016/2017,64,0.91432836595116
Historical Average,2017/2018,64,5.64204156937113e-06
Subtype Historical Average,2017/2018,64,0.999994357958431
Historical Average,2010/2011,65,0.0788247482303848
Subtype Historical Average,2010/2011,65,0.921175251769615
Historical Average,2011/2012,65,0.0641529203518267
Subtype Historical Average,2011/2012,65,0.935847079648173
Historical Average,2012/2013,65,0.0846187779106796
Subtype Historical Average,2012/2013,65,0.91538122208932
Historical Average,2013/2014,65,0.405684553464403
Subtype Historical Average,2013/2014,65,0.594315446535597
Historical Average,2014/2015,65,0.212253080919759
Subtype Historical Average,2014/2015,65,0.787746919080241
Historical Average,2015/2016,65,0.076189725788094
Subtype Historical Average,2015/2016,65,0.923810274211906
Historical Average,2016/2017,65,0.0781442844939583
Subtype Historical Average,2016/2017,65,0.921855715506042
Historical Average,2017/2018,65,5.09093395232615e-06
Subtype Historical Average,2017/2018,65,0.999994909066048
Historical Average,2010/2011,66,0.0817614275153536
Subtype Historical Average,2010/2011,66,0.918238572484646
Historical Average,2011/2012,66,0.0655266057140753
Subtype Historical Average,2011/2012,66,0.934473394285925
Historical Average,2012/2013,66,0.0930804490547125
Subtype Historical Average,2012/2013,66,0.906919550945287
Historical Average,2013/2014,66,0.353486576120088
Subtype Historical Average,2013/2014,66,0.646513423879912
Historical Average,2014/2015,66,0.211802680056303
Subtype Historical Average,2014/2015,66,0.788197319943697
Historical Average,2015/2016,66,0.077562022811065
Subtype Historical Average,2015/2016,66,0.922437977188935
Historical Average,2016/2017,66,0.0771600715660186
Subtype Historical Average,2016/2017,66,0.922839928433981
Historical Average,2017/2018,66,5.02573106358604e-06
Subtype Historical Average,2017/2018,66,0.999994974268936
Historical Average,2010/2011,67,0.0846118789215592
Subtype Historical Average,2010/2011,67,0.915388121078441
Historical Average,2011/2012,67,0.067456200729334
Subtype Historical Average,2011/2012,67,0.932543799270666
Historical Average,2012/2013,67,0.103337000319747
Subtype Historical Average,2012/2013,67,0.896662999680253
Historical Average,2013/2014,67,0.320888818078504
Subtype Historical Average,2013/2014,67,0.679111181921497
Historical Average,2014/2015,67,0.221402578430116
Subtype Historical Average,2014/2015,67,0.778597421569884
Historical Average,2015/2016,67,0.0784122781189978
Subtype Historical Average,2015/2016,67,0.921587721881002
Historical Average,2016/2017,67,0.0763894019049119
Subtype Historical Average,2016/2017,67,0.923610598095088
Historical Average,2017/2018,67,5.04075419131997e-06
Subtype Historical Average,2017/2018,67,0.999994959245809
Historical Average,2010/2011,68,0.0792237570002337
