region_type,region,year,week,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b,wk_date
States,Mississippi,2019,43,67,1,1,2.99,1.49,1.49,2019-10-20
States,Missouri,2019,43,1037,2,0,0.19,0.19,0,2019-10-20
States,Montana,2019,43,108,1,1,1.85,0.93,0.93,2019-10-20
States,Nebraska,2019,43,97,1,0,1.03,1.03,0,2019-10-20
States,Nevada,2019,43,34,1,2,8.82,2.94,5.88,2019-10-20
States,New Hampshire,2019,43,NA,NA,NA,NA,NA,NA,2019-10-20
States,New Jersey,2019,43,NA,NA,NA,NA,NA,NA,2019-10-20
States,New Mexico,2019,43,NA,NA,NA,NA,NA,NA,2019-10-20
States,New York,2019,43,1660,7,7,0.84,0.42,0.42,2019-10-20
States,North Carolina,2019,43,217,3,0,1.38,1.38,0,2019-10-20
States,North Dakota,2019,43,172,0,11,6.4,0,6.4,2019-10-20
States,Ohio,2019,43,1756,3,5,0.46,0.17,0.28,2019-10-20
States,Oklahoma,2019,43,192,0,0,0,0,0,2019-10-20
States,Oregon,2019,43,1029,3,7,0.97,0.29,0.68,2019-10-20
States,Pennsylvania,2019,43,300,1,0,0.33,0.33,0,2019-10-20
States,Rhode Island,2019,43,NA,NA,NA,NA,NA,NA,2019-10-20
States,South Carolina,2019,43,312,2,2,1.28,0.64,0.64,2019-10-20
States,South Dakota,2019,43,70,0,0,0,0,0,2019-10-20
States,Tennessee,2019,43,54,0,0,0,0,0,2019-10-20
States,Texas,2019,43,2553,29,117,5.72,1.14,4.58,2019-10-20
States,Utah,2019,43,448,5,1,1.34,1.12,0.22,2019-10-20
States,Vermont,2019,43,75,0,0,0,0,0,2019-10-20
States,Virginia,2019,43,297,1,0,0.34,0.34,0,2019-10-20
States,Washington,2019,43,889,4,6,1.12,0.45,0.67,2019-10-20
States,West Virginia,2019,43,461,1,2,0.65,0.22,0.43,2019-10-20
States,Wisconsin,2019,43,1074,5,3,0.74,0.47,0.28,2019-10-20
States,Wyoming,2019,43,NA,NA,NA,NA,NA,NA,2019-10-20
States,Puerto Rico,2019,43,0,0,0,0,0,0,2019-10-20
States,Virgin Islands,2019,43,NA,NA,NA,NA,NA,NA,2019-10-20
States,New York City,2019,43,NA,NA,NA,NA,NA,NA,2019-10-20
States,Alabama,2019,44,524,3,18,4.01,0.57,3.44,2019-10-27
States,Alaska,2019,44,NA,NA,NA,NA,NA,NA,2019-10-27
States,Arizona,2019,44,239,1,2,1.26,0.42,0.84,2019-10-27
States,Arkansas,2019,44,136,1,2,2.21,0.74,1.47,2019-10-27
States,California,2019,44,2061,44,56,4.85,2.13,2.72,2019-10-27
States,Colorado,2019,44,511,7,6,2.54,1.37,1.17,2019-10-27
States,Connecticut,2019,44,569,3,0,0.53,0.53,0,2019-10-27
States,Delaware,2019,44,200,0,1,0.5,0,0.5,2019-10-27
States,District of Columbia,2019,44,NA,NA,NA,NA,NA,NA,2019-10-27
States,Florida,2019,44,NA,NA,NA,NA,NA,NA,2019-10-27
States,Georgia,2019,44,1212,20,41,5.03,1.65,3.38,2019-10-27
States,Hawaii,2019,44,335,4,4,2.39,1.19,1.19,2019-10-27
States,Idaho,2019,44,95,3,2,5.26,3.16,2.11,2019-10-27
States,Illinois,2019,44,317,3,2,1.58,0.95,0.63,2019-10-27
States,Indiana,2019,44,215,0,1,0.47,0,0.47,2019-10-27
States,Iowa,2019,44,205,1,0,0.49,0.49,0,2019-10-27
States,Kansas,2019,44,79,0,0,0,0,0,2019-10-27
States,Kentucky,2019,44,524,1,2,0.57,0.19,0.38,2019-10-27
States,Louisiana,2019,44,653,6,70,11.64,0.92,10.72,2019-10-27
States,Maine,2019,44,57,0,0,0,0,0,2019-10-27
States,Maryland,2019,44,179,2,2,2.23,1.12,1.12,2019-10-27
States,Massachusetts,2019,44,527,1,1,0.38,0.19,0.19,2019-10-27
States,Michigan,2019,44,1287,3,3,0.47,0.23,0.23,2019-10-27
States,Minnesota,2019,44,353,2,1,0.85,0.57,0.28,2019-10-27
States,Mississippi,2019,44,85,0,0,0,0,0,2019-10-27
States,Missouri,2019,44,1097,2,2,0.36,0.18,0.18,2019-10-27
States,Montana,2019,44,110,0,0,0,0,0,2019-10-27
States,Nebraska,2019,44,81,0,0,0,0,0,2019-10-27
States,Nevada,2019,44,NA,NA,NA,NA,NA,NA,2019-10-27
States,New Hampshire,2019,44,NA,NA,NA,NA,NA,NA,2019-10-27
States,New Jersey,2019,44,NA,NA,NA,NA,NA,NA,2019-10-27
States,New Mexico,2019,44,330,1,2,0.91,0.3,0.61,2019-10-27
States,New York,2019,44,1684,15,5,1.19,0.89,0.3,2019-10-27
States,North Carolina,2019,44,247,7,0,2.83,2.83,0,2019-10-27
States,North Dakota,2019,44,161,0,12,7.45,0,7.45,2019-10-27
States,Ohio,2019,44,1855,6,8,0.75,0.32,0.43,2019-10-27
States,Oklahoma,2019,44,255,1,0,0.39,0.39,0,2019-10-27
States,Oregon,2019,44,1046,10,15,2.39,0.96,1.43,2019-10-27
States,Pennsylvania,2019,44,341,0,0,0,0,0,2019-10-27
States,Rhode Island,2019,44,NA,NA,NA,NA,NA,NA,2019-10-27
States,South Carolina,2019,44,354,0,2,0.56,0,0.56,2019-10-27
States,South Dakota,2019,44,64,0,0,0,0,0,2019-10-27
States,Tennessee,2019,44,56,1,0,1.79,1.79,0,2019-10-27
States,Texas,2019,44,2482,34,250,11.44,1.37,10.07,2019-10-27
States,Utah,2019,44,450,4,1,1.11,0.89,0.22,2019-10-27
States,Vermont,2019,44,95,0,1,1.05,0,1.05,2019-10-27
States,Virginia,2019,44,291,1,1,0.69,0.34,0.34,2019-10-27
States,Washington,2019,44,937,5,10,1.6,0.53,1.07,2019-10-27
States,West Virginia,2019,44,494,1,1,0.4,0.2,0.2,2019-10-27
States,Wisconsin,2019,44,1099,4,4,0.73,0.36,0.36,2019-10-27
States,Wyoming,2019,44,NA,NA,NA,NA,NA,NA,2019-10-27
States,Puerto Rico,2019,44,0,0,0,0,0,0,2019-10-27
States,Virgin Islands,2019,44,NA,NA,NA,NA,NA,NA,2019-10-27
States,New York City,2019,44,NA,NA,NA,NA,NA,NA,2019-10-27
States,Alabama,2019,45,635,4,15,2.99,0.63,2.36,2019-11-03
States,Alaska,2019,45,NA,NA,NA,NA,NA,NA,2019-11-03
States,Arizona,2019,45,223,2,4,2.69,0.9,1.79,2019-11-03
States,Arkansas,2019,45,163,1,3,2.45,0.61,1.84,2019-11-03
States,California,2019,45,2603,125,135,9.99,4.8,5.19,2019-11-03
States,Colorado,2019,45,573,15,9,4.19,2.62,1.57,2019-11-03
States,Connecticut,2019,45,583,4,1,0.86,0.69,0.17,2019-11-03
States,Delaware,2019,45,250,2,7,3.6,0.8,2.8,2019-11-03
States,District of Columbia,2019,45,NA,NA,NA,NA,NA,NA,2019-11-03
States,Florida,2019,45,NA,NA,NA,NA,NA,NA,2019-11-03
States,Georgia,2019,45,1398,25,49,5.29,1.79,3.51,2019-11-03
States,Hawaii,2019,45,449,14,5,4.23,3.12,1.11,2019-11-03
