component_model_id,season,Model Week,location,target,weight
Historical Average,2018/2019,69,Virginia,2 wk ahead,1.05230269949032e-08
Historical Average,2018/2019,70,Virginia,2 wk ahead,1.05230269949032e-08
Historical Average,2018/2019,71,Virginia,2 wk ahead,1.05230269949032e-08
Historical Average,2018/2019,72,Virginia,2 wk ahead,1.05230269949032e-08
Subtype Historical Average,2018/2019,69,Virginia,2 wk ahead,1.3384654874269e-07
Subtype Historical Average,2018/2019,70,Virginia,2 wk ahead,1.3384654874269e-07
Subtype Historical Average,2018/2019,71,Virginia,2 wk ahead,1.3384654874269e-07
Subtype Historical Average,2018/2019,72,Virginia,2 wk ahead,1.3384654874269e-07
Dynamic Harmonic Model,2018/2019,40,West Virginia,2 wk ahead,0.999999547074054
Dynamic Harmonic Model,2018/2019,41,West Virginia,2 wk ahead,0.999999547074054
Dynamic Harmonic Model,2018/2019,42,West Virginia,2 wk ahead,0.999999547074054
Dynamic Harmonic Model,2018/2019,43,West Virginia,2 wk ahead,0.999999547074054
Dynamic Harmonic Model,2018/2019,44,West Virginia,2 wk ahead,0.999999547074054
Historical Average,2018/2019,40,West Virginia,2 wk ahead,4.20790509796357e-07
Historical Average,2018/2019,41,West Virginia,2 wk ahead,4.20790509796357e-07
Historical Average,2018/2019,42,West Virginia,2 wk ahead,4.20790509796357e-07
Historical Average,2018/2019,43,West Virginia,2 wk ahead,4.20790509796357e-07
Historical Average,2018/2019,44,West Virginia,2 wk ahead,4.20790509796357e-07
Subtype Historical Average,2018/2019,40,West Virginia,2 wk ahead,3.21354359906515e-08
Subtype Historical Average,2018/2019,41,West Virginia,2 wk ahead,3.21354359906515e-08
Subtype Historical Average,2018/2019,42,West Virginia,2 wk ahead,3.21354359906515e-08
Subtype Historical Average,2018/2019,43,West Virginia,2 wk ahead,3.21354359906515e-08
Subtype Historical Average,2018/2019,44,West Virginia,2 wk ahead,3.21354359906515e-08
Dynamic Harmonic Model,2018/2019,45,West Virginia,2 wk ahead,0.999892013341164
Dynamic Harmonic Model,2018/2019,46,West Virginia,2 wk ahead,0.999892013341164
Dynamic Harmonic Model,2018/2019,47,West Virginia,2 wk ahead,0.999892013341164
Dynamic Harmonic Model,2018/2019,48,West Virginia,2 wk ahead,0.999892013341164
Historical Average,2018/2019,45,West Virginia,2 wk ahead,1.23798232109829e-07
Historical Average,2018/2019,46,West Virginia,2 wk ahead,1.23798232109829e-07
Historical Average,2018/2019,47,West Virginia,2 wk ahead,1.23798232109829e-07
Historical Average,2018/2019,48,West Virginia,2 wk ahead,1.23798232109829e-07
Subtype Historical Average,2018/2019,45,West Virginia,2 wk ahead,0.000107862860604388
Subtype Historical Average,2018/2019,46,West Virginia,2 wk ahead,0.000107862860604388
Subtype Historical Average,2018/2019,47,West Virginia,2 wk ahead,0.000107862860604388
Subtype Historical Average,2018/2019,48,West Virginia,2 wk ahead,0.000107862860604388
Dynamic Harmonic Model,2018/2019,49,West Virginia,2 wk ahead,0.879178714489475
Dynamic Harmonic Model,2018/2019,50,West Virginia,2 wk ahead,0.879178714489475
Dynamic Harmonic Model,2018/2019,51,West Virginia,2 wk ahead,0.879178714489475
Dynamic Harmonic Model,2018/2019,52,West Virginia,2 wk ahead,0.879178714489475
Historical Average,2018/2019,49,West Virginia,2 wk ahead,0.120795944654995
Historical Average,2018/2019,50,West Virginia,2 wk ahead,0.120795944654995
Historical Average,2018/2019,51,West Virginia,2 wk ahead,0.120795944654995
Historical Average,2018/2019,52,West Virginia,2 wk ahead,0.120795944654995
Subtype Historical Average,2018/2019,49,West Virginia,2 wk ahead,2.53408555297194e-05
Subtype Historical Average,2018/2019,50,West Virginia,2 wk ahead,2.53408555297194e-05
Subtype Historical Average,2018/2019,51,West Virginia,2 wk ahead,2.53408555297194e-05
Subtype Historical Average,2018/2019,52,West Virginia,2 wk ahead,2.53408555297194e-05
Dynamic Harmonic Model,2018/2019,53,West Virginia,2 wk ahead,0.9999999950189
Dynamic Harmonic Model,2018/2019,54,West Virginia,2 wk ahead,0.9999999950189
Dynamic Harmonic Model,2018/2019,55,West Virginia,2 wk ahead,0.9999999950189
Dynamic Harmonic Model,2018/2019,56,West Virginia,2 wk ahead,0.9999999950189
Historical Average,2018/2019,53,West Virginia,2 wk ahead,3.66186017500265e-09
Historical Average,2018/2019,54,West Virginia,2 wk ahead,3.66186017500265e-09
Historical Average,2018/2019,55,West Virginia,2 wk ahead,3.66186017500265e-09
Historical Average,2018/2019,56,West Virginia,2 wk ahead,3.66186017500265e-09
Subtype Historical Average,2018/2019,53,West Virginia,2 wk ahead,1.31924015617005e-09
Subtype Historical Average,2018/2019,54,West Virginia,2 wk ahead,1.31924015617005e-09
Subtype Historical Average,2018/2019,55,West Virginia,2 wk ahead,1.31924015617005e-09
Subtype Historical Average,2018/2019,56,West Virginia,2 wk ahead,1.31924015617005e-09
Dynamic Harmonic Model,2018/2019,57,West Virginia,2 wk ahead,0.999998870075256
Dynamic Harmonic Model,2018/2019,58,West Virginia,2 wk ahead,0.999998870075256
Dynamic Harmonic Model,2018/2019,59,West Virginia,2 wk ahead,0.999998870075256
Dynamic Harmonic Model,2018/2019,60,West Virginia,2 wk ahead,0.999998870075256
Historical Average,2018/2019,57,West Virginia,2 wk ahead,9.63920726704948e-07
Historical Average,2018/2019,58,West Virginia,2 wk ahead,9.63920726704948e-07
Historical Average,2018/2019,59,West Virginia,2 wk ahead,9.63920726704948e-07
Historical Average,2018/2019,60,West Virginia,2 wk ahead,9.63920726704948e-07
Subtype Historical Average,2018/2019,57,West Virginia,2 wk ahead,1.66004016918036e-07
Subtype Historical Average,2018/2019,58,West Virginia,2 wk ahead,1.66004016918036e-07
