component_model_id,season,Model Week,location,weight
Historical Average,2017/2018,55,Oregon,3.2715213519164e-07
Subtype Historical Average,2017/2018,55,Oregon,6.56171505746992e-10
Dynamic Harmonic Model,2014/2015,56,Oregon,0.999999380849547
Historical Average,2014/2015,56,Oregon,5.94767146068461e-07
Subtype Historical Average,2014/2015,56,Oregon,2.43833071924156e-08
Dynamic Harmonic Model,2015/2016,56,Oregon,0.999999908020594
Historical Average,2015/2016,56,Oregon,9.17794705858707e-08
Subtype Historical Average,2015/2016,56,Oregon,1.99935708025714e-10
Dynamic Harmonic Model,2016/2017,56,Oregon,0.999996289472842
Historical Average,2016/2017,56,Oregon,3.71052702911054e-06
Subtype Historical Average,2016/2017,56,Oregon,1.283811932746e-13
Dynamic Harmonic Model,2017/2018,56,Oregon,0.999988313714712
Historical Average,2017/2018,56,Oregon,1.16862852865621e-05
Subtype Historical Average,2017/2018,56,Oregon,1.78918988190322e-15
Dynamic Harmonic Model,2014/2015,57,Oregon,0.999999577071726
Historical Average,2014/2015,57,Oregon,3.81721311361598e-07
Subtype Historical Average,2014/2015,57,Oregon,4.12069628639702e-08
Dynamic Harmonic Model,2015/2016,57,Oregon,0.999999936870436
Historical Average,2015/2016,57,Oregon,6.29513482290156e-08
Subtype Historical Average,2015/2016,57,Oregon,1.7821595767237e-10
Dynamic Harmonic Model,2016/2017,57,Oregon,0.999999613458113
Historical Average,2016/2017,57,Oregon,3.86528514785053e-07
Subtype Historical Average,2016/2017,57,Oregon,1.33723091014424e-11
Dynamic Harmonic Model,2017/2018,57,Oregon,0.99999968413138
Historical Average,2017/2018,57,Oregon,3.15796997999266e-07
Subtype Historical Average,2017/2018,57,Oregon,7.16224095058187e-11
Dynamic Harmonic Model,2014/2015,58,Oregon,0.999999714405498
Historical Average,2014/2015,58,Oregon,2.47928275764571e-07
Subtype Historical Average,2014/2015,58,Oregon,3.76662267852323e-08
Dynamic Harmonic Model,2015/2016,58,Oregon,0.999999954022834
Historical Average,2015/2016,58,Oregon,4.4758306862749e-08
Subtype Historical Average,2015/2016,58,Oregon,1.2188587343468e-09
Dynamic Harmonic Model,2016/2017,58,Oregon,0.999999842893072
Historical Average,2016/2017,58,Oregon,1.56777256230525e-07
Subtype Historical Average,2016/2017,58,Oregon,3.29672268106816e-10
Dynamic Harmonic Model,2017/2018,58,Oregon,0.999999847772578
Historical Average,2017/2018,58,Oregon,1.51259705396794e-07
Subtype Historical Average,2017/2018,58,Oregon,9.67716501373856e-10
Dynamic Harmonic Model,2014/2015,59,Oregon,0.999999975794903
Historical Average,2014/2015,59,Oregon,1.66815467322436e-08
Subtype Historical Average,2014/2015,59,Oregon,7.52355053124706e-09
Dynamic Harmonic Model,2015/2016,59,Oregon,0.999999970138921
Historical Average,2015/2016,59,Oregon,2.93678556226614e-08
Subtype Historical Average,2015/2016,59,Oregon,4.93223700546949e-10
Dynamic Harmonic Model,2016/2017,59,Oregon,0.999999973529645
Historical Average,2016/2017,59,Oregon,2.61810491737147e-08
Subtype Historical Average,2016/2017,59,Oregon,2.89306077532767e-10
Dynamic Harmonic Model,2017/2018,59,Oregon,0.999999971961559
Historical Average,2017/2018,59,Oregon,2.74783361661913e-08
Subtype Historical Average,2017/2018,59,Oregon,5.60105223097792e-10
Dynamic Harmonic Model,2014/2015,60,Oregon,0.999999973705609
Historical Average,2014/2015,60,Oregon,1.55438633207148e-08
Subtype Historical Average,2014/2015,60,Oregon,1.07505277651993e-08
Dynamic Harmonic Model,2015/2016,60,Oregon,0.999999984391841
