component_model_id,season,Model Week,location,weight
Historical Average,2015/2016,47,Delaware,1.10727990169041e-07
Historical Average,2015/2016,48,Delaware,1.10727990169041e-07
Subtype Historical Average,2015/2016,45,Delaware,2.42785024736095e-08
Subtype Historical Average,2015/2016,46,Delaware,2.42785024736095e-08
Subtype Historical Average,2015/2016,47,Delaware,2.42785024736095e-08
Subtype Historical Average,2015/2016,48,Delaware,2.42785024736095e-08
Dynamic Harmonic Model,2016/2017,45,Delaware,0.999999197403219
Dynamic Harmonic Model,2016/2017,46,Delaware,0.999999197403219
Dynamic Harmonic Model,2016/2017,47,Delaware,0.999999197403219
Dynamic Harmonic Model,2016/2017,48,Delaware,0.999999197403219
Historical Average,2016/2017,45,Delaware,7.87305920420149e-07
Historical Average,2016/2017,46,Delaware,7.87305920420149e-07
Historical Average,2016/2017,47,Delaware,7.87305920420149e-07
Historical Average,2016/2017,48,Delaware,7.87305920420149e-07
Subtype Historical Average,2016/2017,45,Delaware,1.52908602880091e-08
Subtype Historical Average,2016/2017,46,Delaware,1.52908602880091e-08
Subtype Historical Average,2016/2017,47,Delaware,1.52908602880091e-08
Subtype Historical Average,2016/2017,48,Delaware,1.52908602880091e-08
Dynamic Harmonic Model,2017/2018,45,Delaware,0.99999982895193
Dynamic Harmonic Model,2017/2018,46,Delaware,0.99999982895193
Dynamic Harmonic Model,2017/2018,47,Delaware,0.99999982895193
Dynamic Harmonic Model,2017/2018,48,Delaware,0.99999982895193
Historical Average,2017/2018,45,Delaware,1.39686077845241e-07
Historical Average,2017/2018,46,Delaware,1.39686077845241e-07
Historical Average,2017/2018,47,Delaware,1.39686077845241e-07
Historical Average,2017/2018,48,Delaware,1.39686077845241e-07
Subtype Historical Average,2017/2018,45,Delaware,3.13619926835051e-08
Subtype Historical Average,2017/2018,46,Delaware,3.13619926835051e-08
Subtype Historical Average,2017/2018,47,Delaware,3.13619926835051e-08
Subtype Historical Average,2017/2018,48,Delaware,3.13619926835051e-08
Dynamic Harmonic Model,2014/2015,49,Delaware,0.999999987012007
Dynamic Harmonic Model,2014/2015,50,Delaware,0.999999987012007
Dynamic Harmonic Model,2014/2015,51,Delaware,0.999999987012007
Dynamic Harmonic Model,2014/2015,52,Delaware,0.999999987012007
Historical Average,2014/2015,49,Delaware,7.60308199767903e-09
Historical Average,2014/2015,50,Delaware,7.60308199767903e-09
Historical Average,2014/2015,51,Delaware,7.60308199767903e-09
Historical Average,2014/2015,52,Delaware,7.60308199767903e-09
Subtype Historical Average,2014/2015,49,Delaware,5.38491130832214e-09
Subtype Historical Average,2014/2015,50,Delaware,5.38491130832214e-09
Subtype Historical Average,2014/2015,51,Delaware,5.38491130832214e-09
Subtype Historical Average,2014/2015,52,Delaware,5.38491130832214e-09
Dynamic Harmonic Model,2015/2016,49,Delaware,0.999999855272193
Dynamic Harmonic Model,2015/2016,50,Delaware,0.999999855272193
Dynamic Harmonic Model,2015/2016,51,Delaware,0.999999855272193
Dynamic Harmonic Model,2015/2016,52,Delaware,0.999999855272193
Historical Average,2015/2016,49,Delaware,1.43254048106465e-07
Historical Average,2015/2016,50,Delaware,1.43254048106465e-07
Historical Average,2015/2016,51,Delaware,1.43254048106465e-07
Historical Average,2015/2016,52,Delaware,1.43254048106465e-07
Subtype Historical Average,2015/2016,49,Delaware,1.47375935137685e-09
Subtype Historical Average,2015/2016,50,Delaware,1.47375935137685e-09
Subtype Historical Average,2015/2016,51,Delaware,1.47375935137685e-09
Subtype Historical Average,2015/2016,52,Delaware,1.47375935137685e-09
Dynamic Harmonic Model,2016/2017,49,Delaware,0.999999906099463
Dynamic Harmonic Model,2016/2017,50,Delaware,0.999999906099463
Dynamic Harmonic Model,2016/2017,51,Delaware,0.999999906099463
Dynamic Harmonic Model,2016/2017,52,Delaware,0.999999906099463
Historical Average,2016/2017,49,Delaware,9.31476271064586e-08
Historical Average,2016/2017,50,Delaware,9.31476271064586e-08
Historical Average,2016/2017,51,Delaware,9.31476271064586e-08
Historical Average,2016/2017,52,Delaware,9.31476271064586e-08
Subtype Historical Average,2016/2017,49,Delaware,7.52909763099689e-10
Subtype Historical Average,2016/2017,50,Delaware,7.52909763099689e-10
Subtype Historical Average,2016/2017,51,Delaware,7.52909763099689e-10
Subtype Historical Average,2016/2017,52,Delaware,7.52909763099689e-10
Dynamic Harmonic Model,2017/2018,49,Delaware,0.999999969670478
Dynamic Harmonic Model,2017/2018,50,Delaware,0.999999969670478
Dynamic Harmonic Model,2017/2018,51,Delaware,0.999999969670478
Dynamic Harmonic Model,2017/2018,52,Delaware,0.999999969670478
Historical Average,2017/2018,49,Delaware,2.94081226254125e-08
Historical Average,2017/2018,50,Delaware,2.94081226254125e-08
Historical Average,2017/2018,51,Delaware,2.94081226254125e-08
